Fitness,Player_Life,Enemy_Life,Time,Generataion
57.19486503108351,0,30.0,332,0
21.82951600496185,0,70.0,176,0
21.752975927839515,0,70.0,190,0
-4.624972813284271,0,100,102,0
-4.672828834461906,0,100,107,0
-4.882801922586371,0,100,132,0
-4.882801922586371,0,100,132,0
-4.882801922586371,0,100,132,0
-4.983606621708336,0,100,146,0
-5.0689042022202315,0,100,159,0
-5.075173815233827,0,100,160,0
-5.075173815233827,0,100,160,0
-5.075173815233827,0,100,160,0
-5.135798437050262,0,100,170,0
-5.14166355650266,0,100,171,0
-5.247024072160486,0,100,190,0
-5.272999558563747,0,100,195,0
-5.272999558563747,0,100,195,0
-5.288267030694535,0,100,198,0
-5.7745515455444085,0,100,322,0
57.19486503108351,0,30.0,332,1
21.82951600496185,0,70.0,176,1
21.752975927839515,0,70.0,190,1
21.752975927839515,0,70.0,190,1
12.225448454455591,0,80.0,322,1
3.950143992750463,0,90.0,156,1
3.950143992750463,0,90.0,156,1
-4.624972813284271,0,100,102,1
-4.624972813284271,0,100,102,1
-4.624972813284271,0,100,102,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.672828834461906,0,100,107,1
-4.882801922586371,0,100,132,1
-4.882801922586371,0,100,132,1
-4.882801922586371,0,100,132,1
57.19486503108351,0,30.0,332,2
57.16226955283406,0,30.0,343,2
57.16226955283406,0,30.0,343,2
21.876036020596743,0,70.0,168,2
21.82951600496185,0,70.0,176,2
21.82951600496185,0,70.0,176,2
21.752975927839515,0,70.0,190,2
21.752975927839515,0,70.0,190,2
21.752975927839515,0,70.0,190,2
13.163718093048523,0,80.0,126,2
12.852505523186547,0,80.0,172,2
12.225448454455591,0,80.0,322,2
4.38487948315874,0,90.0,101,2
3.9565748830807532,0,90.0,155,2
3.9565748830807532,0,90.0,155,2
3.950143992750463,0,90.0,156,2
3.950143992750463,0,90.0,156,2
3.950143992750463,0,90.0,156,2
3.823850267426171,0,90.0,177,2
3.7905138471585786,0,90.0,183,2
57.73214184093667,0,30.0,194,3
57.2962175253438,0,30.0,300,3
57.19486503108351,0,30.0,332,3
57.16226955283406,0,30.0,343,3
57.16226955283406,0,30.0,343,3
57.16226955283406,0,30.0,343,3
30.17399989261955,0,60.0,339,3
22.109650871778246,0,70.0,133,3
21.956574883080755,0,70.0,155,3
21.956574883080755,0,70.0,155,3
21.876036020596743,0,70.0,168,3
21.852505523186547,0,70.0,172,3
21.82951600496185,0,70.0,176,3
21.82951600496185,0,70.0,176,3
21.79051384715858,0,70.0,183,3
21.76355803717005,0,70.0,188,3
21.752975927839515,0,70.0,190,3
21.752975927839515,0,70.0,190,3
21.752975927839515,0,70.0,190,3
21.752975927839515,0,70.0,190,3
57.73214184093667,0,30.0,194,4
57.73214184093667,0,30.0,194,4
57.73214184093667,0,30.0,194,4
57.73214184093667,0,30.0,194,4
57.2962175253438,0,30.0,300,4
57.20090734553948,0,30.0,330,4
57.19486503108351,0,30.0,332,4
57.16226955283406,0,30.0,343,4
57.16226955283406,0,30.0,343,4
57.16226955283406,0,30.0,343,4
57.16226955283406,0,30.0,343,4
30.17399989261955,0,60.0,339,4
22.109650871778246,0,70.0,133,4
22.109650871778246,0,70.0,133,4
21.99605369405454,0,70.0,149,4
21.956574883080755,0,70.0,155,4
21.956574883080755,0,70.0,155,4
21.956574883080755,0,70.0,155,4
